Mumero;metodo;ar;de;ma;sra;sde;sma;ped;con;derivada;aic
1;ARIMA;0;0;0;0;1;0;12;with;drift;1032.429
2;ARIMA;1;0;0;1;1;0;12;with;drift;1011.343
3;ARIMA;0;0;0;0;1;0;12;:;;1030.377
4;ARIMA;1;0;0;0;1;0;12;with;drift;1009.453
5;ARIMA;1;0;0;0;1;1;12;with;drift;1011.373
6;ARIMA;1;0;0;1;1;1;12;with;drift;1013.236
7;ARIMA;2;0;0;0;1;0;12;with;drift;1000.839
8;ARIMA;2;0;0;1;1;0;12;with;drift;1002.837
9;ARIMA;2;0;0;0;1;1;12;with;drift;1002.886
10;ARIMA;2;0;0;1;1;1;12;with;drift;1004.207
11;ARIMA;3;0;0;0;1;0;12;with;drift;997.6634
12;ARIMA;3;0;0;1;1;0;12;with;drift;999.4645
13;ARIMA;3;0;0;0;1;1;12;with;drift;999.5566
14;ARIMA;3;0;0;1;1;1;12;with;drift;1000.894
15;ARIMA;4;0;0;0;1;0;12;with;drift;998.2301
16;ARIMA;3;0;0;0;1;0;12;;;995.566
17;ARIMA;3;0;0;1;1;0;12;;;997.317
18;ARIMA;3;0;0;0;1;1;12;;;997.4107
19;ARIMA;3;0;0;1;1;1;12;;;998.686
20;ARIMA;2;0;0;0;1;0;12;;;998.7515
21;ARIMA;4;0;0;0;1;0;12;;;996.1103
22;ARIMA;3;0;1;0;1;0;12;;;976.5267
23;ARIMA;3;0;1;1;1;0;12;;;978.3886
24;ARIMA;3;0;1;0;1;1;12;;;978.4742
25;ARIMA;3;0;1;1;1;1;12;;;979.7282
26;ARIMA;2;0;1;0;1;0;12;;;974.5072
27;ARIMA;2;0;1;1;1;0;;;;976.2285
28;ARIMA;2;0;1;0;1;1;;;;976.3348
29;ARIMA;2;0;1;1;1;1;;;;977.4523
30;ARIMA;1;0;1;0;1;0;;;;972.4447
31;ARIMA;1;0;1;1;1;0;;;;974.2743
32;ARIMA;1;0;1;0;1;1;;;;974.3418
33;ARIMA;0;0;1;0;1;0;;;;970.5358
34;ARIMA;0;0;1;1;1;0;;;;972.3239
35;ARIMA;0;0;1;0;1;1;;;;972.3964
36;ARIMA;0;0;1;1;1;1;;;;973.369
37;ARIMA;0;0;2;0;1;0;;;;972.4322
38;ARIMA;1;0;0;0;1;0;;;;1007.377
